Data,CV19-CSI,CV19-CSE,CV19-CSUTI,CV19-CONF,CV19-DESC,CV19-MINV,CV19-MDESC,CV19-MCONF,FLU-NOTISO
25/03/2020,19,0,0,1,7,4,0,0,51
26/03/2020,22,0,0,1,7,4,0,0,51
27/03/2020,24,0,0,2,7,4,0,0,533
28/03/2020,24,0,0,2,7,6,0,0,567
29/03/2020,27,0,0,2,11,6,0,0,606
30/03/2020,29,0,0,2,11,6,0,0,647
31/03/2020,25,0,0,2,13,6,0,0,767
01/04/2020,26,0,0,2,13,6,0,0,794
02/04/2020,27,0,0,2,13,6,0,0,842
03/04/2020,29,0,0,2,21,8,0,0,890
04/04/2020,23,0,0,3,26,9,0,0,895
05/04/2020,22,0,0,3,33,10,0,0,914
06/04/2020,25,0,0,3,33,11,0,0,940
07/04/2020,25,24,1,3,36,10,2,0,1088
08/04/2020,32,23,9,4,38,9,2,1,1154
09/04/2020,31,21,10,6,50,4,6,2,1170
10/04/2020,29,20,9,6,51,4,6,2,1193
11/04/2020,27,22,5,6,51,5,6,2,1644
12/04/2020,28,21,7,6,51,5,6,2,1601
13/04/2020,25,16,9,7,62,7,6,2,1606
14/04/2020,24,15,9,7,71,7,6,2,1564
15/04/2020,23,13,10,7,122,5,8,2,1636
16/04/2020,22,13,9,8,163,6,9,2,1631
17/04/2020,21,15,6,10,173,6,9,2,1640
18/04/2020,13,7,6,10,173,8,9,2,1643
19/04/2020,17,12,5,10,183,6,10,2,1632
20/04/2020,24,19,5,10,184,6,10,2,1673
21/04/2020,23,19,4,10,192,6,10,2,1679
22/04/2020,25,20,5,16,202,6,11,2,1770
23/04/2020,20,15,5,16,216,6,11,2,1787
24/04/2020,20,15,5,22,223,7,11,2,1895
25/04/2020,17,12,5,22,229,2,16,2,1908
26/04/2020,15,10,5,25,401,2,16,2,1915